레이스곰튜튜원피스,13,너무 이쁘네요^^ [1],박****,,사이즈 때문에 고민 많이하고 구매했는데사장님한테 전화까지해서 ㅎ조금 살짝 큰거 같긴한데 너무너무 이쁘네요^^
코지하네스패딩조끼,12,고객님 후기 ,무****,,고객님 후기에용 !?
발열토끼후드,11,후기 ,무****,,고객님 후기입니댜 ㅎㅎ?
비쥬니트,10,재입고예정 ,김****,,재입고예정 없나요? 아이보리 다른 사이즈들이요~~
7데이티,9,너무 귀여워요 ,무****,,재질도 엄청 좋고?아이한테 찰떡이네요
코지하네스패딩조끼,8,좋아요 ,김****,,편리하고 좋앙요
코지하네스패딩조끼,7,좋아요 ,김****,,편리하고 좋아요
의류 비닐 포장지,6,1 ,박****,,1
안개꽃망사나시,5,효자상품 ,김****,,고객들에게 반응이 너무 좋으네요@/@ 감사합니다
사과크롭티,4,빠른배송 감사합니다 ,이****,,배송 정말 빨리 잘 왔어요 !?옷 너무 예쁘네요 ~ 감사합니다:D
스마일데이지커플템(견주용),3,커플나시티 ,김****,,엄청 부드러운 면 재질대략 100정도 사이즈로 보임
,2,체리크롭티 레드 후기 ,김****,,말티즈 3.2kg길이가 좀 긴편이라 크롭은 한사이즈 크게 입혀요평소 M인데 크롭은 L입혀요?신축성@/@면단 모두 다 좋고 가격대비도 좋아요재구매율 100%
파스텔머플러,1,파스텔머플러 ,한****,,이상품 소재가 뭔가여?혹시 신축성도 있는건가여?
