올데이 쿨 슬리브리스 on ver. (3colors),15,소재가 좋아요 ,강****,2022-07-14 17:35:02,소재가 진짜 얇아요. 여름에는 강아지옷 잘 안입히는데 미용하고 빡빡이 상태일때 입히려고 샀어요. 그런데 옷이 얇아서 털 복슬거릴때 입어도 될거 같아요. 저희 강아지한테 찰떡이에요
Love me OPS (red),14,3키로에 등이좀 긴편이에요보통 M사이즈를 입어서 이것두 m으로 샀어요어깨끈이 좀 길어서 한칸 줄였어요... ,네****,2022-06-22 06:52:04,3키로에 등이좀 긴편이에요@>@보통 M사이즈를 입어서 이것두 m으로 샀어요@>@어깨끈이 좀 길어서 한칸 줄였어요@>@소재도 넘 보드라운데 시원한 소재고@>@입으니까 더 예뻐요!!@>@다만 단추를 두번째칸에 끼우면 안쪽으로 단추가 들어가서등이 베길것 같아서 바깥으로 빼서 끼워지가지고 좀 치렁치렁 해보입니다 ㅋㅋ@>@귀여워요 그래도(2022-06-21 22:46:53 에 등록된 네이버 페이 구매평)
꾸러기 카라 탑 - 옐로우,13,너무 귀여워용 ,김****,2022-06-08 17:57:25,입으면 분유냄시 뿜뿜 너무 귀여운룩 완성입니다??판매자님도 친절하시고 배송도 왕빨라요!!소재도 좋고@/@ 우리애기 불편한옷 입으면 고장나는 로봇인데 이거 입은날은 애견운동장에서 치타인줄ㅋㅋ애카에서 만난 견주분들도 옷 너무 귀엽다며 어디서 샀냐해서 알려줬어요>_<?오래오래 입히고 싶은 옷????7개월 2.9kg 댕댕이 SM사이즈 찰떡입니다@/@@/@
크리미 워크 하네스 - 핑크,12,넘귀여운하네스ㅜ ,이****,2022-03-10 20:01:53,귀여운내새꾸..딸램같은 아들램입니더ㅎㅎ가슴둘레 43인데 L-XL 샀구용 쫌커서 M샀음 더좋긴했을거같은데 귀차나서 그냥 입힐래여ㅎㅎ여름옷도 내주세여ㅕㅕㅕㅕ
포시즌 울 집업 - 핑크,11,예뽀유 ,이****,2022-03-08 17:17:27,애 옷이 별로없는데 인스타보다가 예뻐서 구매했어용 봄이라 핑크색 골랐는데 넘잘어울려요ㅜㅜ사진도 잘나오구@/@@/@입히자마자 좋아서 우다다하네요ㅋㅋㅋ산책나가면 지나가는 사람들이 다 귀엽다고함..!! 사이즈는 5.3키론데 딱맞는건 불편할까봐 XL사줬는데 마른편이라 L했어도 됐을거같아요 그래도 엄청큰건아니라 괜춘괜춘 잘입힐게요~
투게더 리버서블 베스트,10,만족 ,네****,2022-02-28 03:56:01,입히기도 편하고 부드러워서 좋아요(2022-02-27 14:39:02 에 등록된 네이버 페이 구매평)
투게더 리버서블 베스트,9,우리 강아지 넘 기엽죠 ㅠㅠㅠ 바로 세탁할수도있고 배송도 되게 빨리오고 크기도 정사이즈로와서 ..또 산책... ,네****,2022-01-20 03:59:06,우리 강아지 넘 기엽죠 ㅠㅠㅠ 바로 세탁할수도있고 배송도 되게 빨리오고 크기도 정사이즈로와서 ..또 산책할때 이거 입고 가면 주윗사람분들이 기엽다~ 하고 지나가는데 얼마나 뿌듯한지요 ㅠㅠ(2022-01-19 14:55:24 에 등록된 네이버 페이 구매평)
투게더 리버서블 베스트,8,이쁘게 잘입을게요! 사장님도 친절하시고 배송도 엄청빨리왔어용! 가볍고 지금같은 날씨에 딱이네요 ! 강아... ,네****,2021-12-10 04:03:58,이쁘게 잘입을게요! 사장님도 친절하시고 배송도 엄청빨리왔어용! 가볍고 지금같은 날씨에 딱이네요 ! 강아지도 엄청 편하게 입어서 계속입는중이에용 ㅎㅎㅎ(2021-12-09 14:34:46 에 등록된 네이버 페이 구매평)
후르츠 티셔츠 - 레몬,7,너무 좋아요! 강추 ,이****,2021-12-05 18:52:55,쇼핑몰에서 반려견옷 처음사봤는데 퀄 너무 좋고 재질도 까슬까슬한 재질이 아니라서 너무 만족했습니다! 팔이 긴 옷이 없었는대 이번에 하나 장만해서 제 마음이 더 편하네요! 앞으로도 여기 자주와서 구매할게요! pick!?
파스텔 티셔츠 - 핑크,6,소재가 톡톡해서 너무 좋아요> ,이****,2021-12-02 10:43:05,고니 : 1.9kg나니 : 2.0kg저희집 아이들이 몸무게가 많이 나가는편이 아니구다리와 목이 긴편이라사이즈맞추는게 사실 쉬운편은 아닌데sm사이즈가 있는거 보고 너무 좋았어요!!!sm사이즈 있는 브랜드가 많지는 않다보니저희 애들한테는 약간 팔쪽이 짧거나 그랬는데요 사이쥬 찰떡콩떡게다가 파스텔톤 배색이 너무 이뻐서?저희집 흰둥이 누렁이한테 찰떡이네요 ㅠㅠㅠㅠ소재도 톡톡하고 도톰해서겨울철에 너무 좋을 거같아서 뚝딱 후기작성합니다><사장님...ㅅ....ㅅ...사는 동안 적게일하시고 많이 버세요!!!!
