프릴 긴팔 티셔츠,1,샤방샤방 넘잘어울려요ㅋㅋ,네****,2022-09-21,
SUMMER 나시티,2,늘 L사이즈 입는데 쪼금 헐렁해요,네****,2022-08-11,
파스텔 버튼 민소매,3,너무 가볍고 부드럽고 좋아요,네****,2022-06-08,
백설공주 리본  원피스,4,생일때 흑설공주를 빙의해서 장만했어요 탄력성이 별로 없어서 앞발 넣을때 너무 불편했어요 .. ㅎ 활동복보...,네****,2022-05-30,
파스텔 버튼 민소매,5,7.3킬로 허리긴 아이 L사이즈 이쁘게 맞아요.@>@부드럽고 늘어나는 천이라 편해보이네요.,네****,2022-05-11,
파스텔 버튼 민소매,6,이건 진짜 물건입니다 ㅜ면이 엄청 부드럽고 얇아서 한여름에도 가능할것,스****,2022-05-01,
베이직 티셔츠,7,원래 라지를 입는 아이예요 아이가 몸통은 짧아서 옷이 길것같아서 미듐시,스****,2022-05-01,
오로라리본 케이프,8,색감도 똑같고 너무 이뻐요 사진찍을때 사용하고 있는데 예쁘네용,스****,2022-05-01,
물결 체크 리본 원피스,9,실제로 보니 더 이뻐요  신축성도 있고 리본이 포인트예요 장난감도 잘가지,스****,2022-04-22,
앵두 테니스 원피스,10,제강아지가 큰건지 옷이 살짝 작네요. 근데 너무 마음에들어요! 감사합니다,스****,2022-04-22,
물결 체크 리본 원피스,11,어익후 허리가 크네유?,스****,2022-04-15,
파스텔 데이지 강아지 크롭,12,이뻐유사장님번창하세유,스****,2022-04-15,
베이직 티셔츠,13,실내복으로 샀다가 여기저기 곁들여 입히기 좋은 옷이라서 패딩이나 니트,스****,2022-02-22,
파스텔 버튼 민소매,14,착용중인데 여기저기 곁들어 입기 편하고 실내용읋 샀다가 패딩안에 입고,스****,2022-02-22,
테디베어 티셔츠,15,재질이 너무 부드러워서 제가 입고 싶었어요.. 제 잠옷보다 재질 좋은듯..,스****,2022-02-22,
하트 누빔 강아지 가디건,16,장난감도 하나 챙겨주셨어요 신축성도 좋고 좋았어요,스****,2022-02-21,
앙고라 리본 니트,17,인스타에서 보자마자 예뻐서 주문했어요 :)@>@배송도 칼배송이라 주말에 놀러,스****,2022-02-18,
빨간맛 강아지 원피스 + 리본 SET,18,색상이 쨍한게 사진찍으니 더 이쁘네요@>@리본이랑 세트라서 더 이뻐요@>@두벌,스****,2022-02-14,
퍼플 레이스 + 모자 SET,19,4계절 입힐수 있을거같아서 연보라로 골라봤어요@>@역시 세탁하기도 편하고,스****,2022-02-14,
프릴 긴팔 티셔츠,20,니트 구매하면서 같이 코디하려고 구매했어요. 프릴이 포인트 돼서 귀여워,스****,2022-02-14,
바둑이 체커 니트 조끼,21,체커보드 무늬가 귀여워서 구매했어요. 올려주신 사진이랑 똑같고@/@ 원단도,스****,2022-02-14,
다이아몬드 체크 조끼,22,너무 기엽습니다>_<@>@뽀글이 털빠짐이 초기에 심하구 끝부붐이 좀 말려,스****,2022-02-12,
무지개 후리스,23,판매자님 친절해요 배송도 빠르게 왔어요@>@화면처럼 색상 솜사탕 처럼 이뿌,스****,2022-02-09,
무지개 후리스,24,주문날짜: 2/6 @>@도착일: 2/8@>@배송 매우 빠르고 무엇보다 포장이 꼼꼼해서 너무,스****,2022-02-08,
무지개 후리스,25,Jdzkeixnejncejcnejdj,스****,2022-02-05,
보라셔츠 + 니트 SET,26,Jseimdneidjjdjdie,스****,2022-02-05,
무지개 후리스,27,오 진짜 한사이즈 작게 사니까 딱이네요! 너무이뻐요ㅠㅜ 날 풀리기 전에,스****,2022-02-05,
무지개 후리스,28,강아지 옷 온라인에서 처음 주문하는데 사이즈 상담도 잘 해주신 덕분에 옷,스****,2022-02-04,
할머니 꽃무늬 조끼,29,너무 귀여워요 착용감도 좋고 안감도 부들부들해서 좋네유 할미는 아니지,스****,2022-01-24,
앙고라 리본 니트,30,니트질이 제가15만원주고산 제옷보다 더좋습니다@>@@>@니트라 더비쌀텐데 싸니,스****,2022-01-22,
옐로우 체리 원피스 + 모자 SET,31,신축성은없는데  이가격에 그걸바라면  양심없는거죠@>@보통다른곳에선 비슷,스****,2022-01-22,
앙고라 리본 니트,32,너무이뻐요 사은품도주시고...,스****,2022-01-22,
유채꽃 강아지 프릴 원피스,33,만족,네****,2022-04-21,
프릴 긴팔 티셔츠,34,넘 넘 예뻐요 원단도 좋고 시원할거 같은 원단이예요 배송도 넘 빨랐고 장난감도 서비스 주셔서 넘 감사해요...,네****,2022-04-17,
하트 나시티,35,긔여워용 근데 사이즈가 뭔가 애매 ㅠ하네용@>@변태레슬링선수같아요,네****,2022-03-22,
바둑이 체커 니트 조끼,36,엄마랑 커플템,이****,2022-02-07,
무지개 후리스,37,우리강아지 귀엽죠? 서비스로 주신 장난감에 정신팔린 모습입니다 옷 귀엽,스****,2022-01-11,
무지개 후리스,38,재입고 되길 기다렸다가 입고 되자마자 바로 주문했습니다! 3.5kg에 가슴둘,스****,2022-01-20,
알록달록 후리스,39,직접 받아서 보니 더 귀여워요!ㅋㅋ 이뻐요ㅎㅎ,스****,2022-01-20,
하트 누빔 강아지 가디건,40,처음 주문해보는곳이라 반신반의했는데@/@ 택배 포장부터 엄청 꼼꼼하서 반,스****,2022-01-16,
하늘체크 니트,41,사진을 잘 찍진 못했지만ㅎㅎㅎ 요즘 날씨가 추워서 갱얼쥐옷 대량구입했,스****,2022-01-16,
무지개 후리스,42,후리스 색감 뭔가 솜사탕느낌나고 귀여워서 바로 질렀잖아요 상세컷이렁,스****,2022-01-16,
하늘체크 니트,43,당장사세요 당 장,손****,2022-01-20,
앙고라 리본 니트,44,넘귀여워요,김****,2022-01-17,
하트 누빔 강아지 가디건,45,세상 귀엽고 이쁘고 따숩게 입히고 있어요!! 색상도 정말 화면이랑 똑같았,스****,2022-01-14,
베이직 티셔츠,46,사진을 못 찍었지만 요즘 같은 추운 날씨에 실내복으로 아님 패딩 안에 덧,스****,2022-01-14,
파스텔 버튼 민소매,47,나이가 있는 아이라서 겨울에는 꼭 실내복을 입어요!! 늘 실내복을 구매할,스****,2022-01-14,
아가일 체크 조끼,48,너무 이쁘네요~^^@>@3.5kg 인데 사이즈도 너무 이쁘게 잘맞네요~대박나세요~^^,스****,2022-01-14,
앙고라 리본 니트,49,퐁퐁이가 모델견이랑 같은 포메종인데 모델샷보고 옷이 너어어무 예뻐서,스****,2022-01-10,
파스텔 버튼 민소매,50,우리 집 퐁퐁이가 다리쪽에 옷 입는 걸 불편해해서 민소매로 구매했는데 민,스****,2022-01-10,
파스텔 버튼 민소매,51,세가지 색상 다 귀여워서 고민하다가 보라색으로 구매했는데 다른색도 추,스****,2022-01-10,
앙고라 리본 니트,52,친구네 강아지한테 선물로 줬는데 너무 이뻐요! 사실 강아지옷으로 구매한,스****,2022-01-10,
할머니 꽃무늬 조끼,53,인스타 보고 옷이 너무 귀여워서 구매했어요! 리뷰없어서 조금 걱정했는데,스****,2022-01-10,
할머니 꽃무늬 조끼,54,크림푸들은 4.8kg 이구 등길이 33cm 정도라서 평소 라지입는데 요것도 라지입,스****,2022-01-09,
할머니 꽃무늬 조끼,55,배송도 빠르고 소재가 도톰하니 보온성도 좋아요~~!! 4.5kg로 초코푸들이 등,스****,2022-01-09,
